,pixel,threshold,asic
0,0,12.0,0
1,1,12.0,0
2,2,13.0,0
3,3,13.0,0
4,4,12.0,0
5,5,12.0,0
6,6,13.0,0
7,7,12.0,0
8,8,13.0,0
9,9,13.0,0
10,10,13.0,0
11,11,12.0,0
12,12,13.0,0
13,13,12.0,0
14,14,12.0,0
15,15,12.0,0
16,16,13.0,0
17,17,13.0,0
18,18,12.0,0
19,19,13.0,0
20,20,12.0,0
21,21,13.0,0
22,22,13.0,0
23,23,13.0,0
24,24,12.0,0
25,25,14.0,0
26,26,13.0,0
27,27,12.0,0
28,28,11.0,0
29,29,12.0,0
30,30,12.0,0
31,31,13.0,0
32,32,12.0,0
33,33,13.0,0
34,34,12.0,0
35,35,12.0,0
36,36,13.0,0
37,37,12.0,0
38,38,12.0,0
39,39,12.0,0
40,40,13.0,0
41,41,13.0,0
42,42,11.0,0
43,43,13.0,0
44,44,12.0,0
45,45,12.0,0
46,46,12.0,0
47,47,12.0,0
48,48,12.0,0
49,49,12.0,0
50,50,13.0,0
51,51,13.0,0
52,52,13.0,0
53,53,12.0,0
54,54,12.0,0
55,55,12.0,0
56,56,13.0,0
57,57,13.0,0
58,58,13.0,0
59,59,12.0,0
60,60,12.0,0
61,61,12.0,0
62,62,12.0,0
63,63,12.0,0
64,64,12.0,0
65,65,12.0,0
66,66,11.0,0
67,67,13.0,0
68,68,12.0,0
69,69,12.0,0
70,70,12.0,0
71,71,12.0,0
72,72,13.0,0
73,73,12.0,0
74,74,12.0,0
75,75,13.0,0
76,76,12.0,0
77,77,12.0,0
78,78,12.0,0
79,79,12.0,0
80,80,12.0,0
81,81,13.0,0
82,82,13.0,0
83,83,12.0,0
84,84,12.0,0
85,85,11.0,0
86,86,13.0,0
87,87,13.0,0
88,88,12.0,0
89,89,12.0,0
90,90,12.0,0
91,91,12.0,0
92,92,12.0,0
93,93,12.0,0
94,94,12.0,0
95,95,12.0,0
96,96,13.0,0
97,97,12.0,0
98,98,12.0,0
99,99,11.0,0
100,100,12.0,0
101,101,12.0,0
102,102,12.0,0
103,103,12.0,0
104,104,13.0,0
105,105,13.0,0
106,106,13.0,0
107,107,13.0,0
108,108,12.0,0
109,109,13.0,0
110,110,13.0,0
111,111,12.0,0
112,112,13.0,0
113,113,13.0,0
114,114,12.0,0
115,115,13.0,0
116,116,12.0,0
117,117,12.0,0
118,118,13.0,0
119,119,12.0,0
120,120,12.0,0
121,121,12.0,0
122,122,12.0,0
123,123,12.0,0
124,124,11.0,0
125,125,11.0,0
126,126,11.0,0
127,127,11.0,0
128,128,12.0,0
129,129,12.0,0
130,130,11.0,0
131,131,12.0,0
132,132,11.0,0
133,133,12.0,0
134,134,12.0,0
135,135,12.0,0
136,136,11.0,0
137,137,12.0,0
138,138,12.0,0
139,139,12.0,0
140,140,12.0,0
141,141,12.0,0
142,142,12.0,0
143,143,12.0,0
144,144,12.0,0
145,145,12.0,0
146,146,12.0,0
147,147,12.0,0
148,148,12.0,0
149,149,12.0,0
150,150,12.0,0
151,151,12.0,0
152,152,11.0,0
153,153,11.0,0
154,154,12.0,0
155,155,12.0,0
156,156,12.0,0
157,157,12.0,0
158,158,12.0,0
159,159,12.0,0
160,160,12.0,0
161,161,12.0,0
162,162,12.0,0
163,163,12.0,0
164,164,12.0,0
165,165,12.0,0
166,166,12.0,0
167,167,12.0,0
168,168,13.0,0
169,169,12.0,0
170,170,12.0,0
171,171,12.0,0
172,172,11.0,0
173,173,12.0,0
174,174,12.0,0
175,175,12.0,0
176,176,12.0,0
177,177,11.0,0
178,178,12.0,0
179,179,11.0,0
180,180,12.0,0
181,181,12.0,0
182,182,12.0,0
183,183,11.0,0
184,184,12.0,0
185,185,12.0,0
186,186,12.0,0
187,187,12.0,0
188,188,12.0,0
189,189,12.0,0
190,190,12.0,0
191,191,12.0,0
192,192,12.0,0
193,193,12.0,0
194,194,12.0,0
195,195,12.0,0
196,196,12.0,0
197,197,12.0,0
198,198,11.0,0
199,199,11.0,0
200,200,12.0,0
201,201,11.0,0
202,202,12.0,0
203,203,12.0,0
204,204,12.0,0
205,205,13.0,0
206,206,12.0,0
207,207,12.0,0
208,208,12.0,0
209,209,13.0,0
210,210,12.0,0
211,211,13.0,0
212,212,11.0,0
213,213,12.0,0
214,214,12.0,0
215,215,12.0,0
216,216,12.0,0
217,217,12.0,0
218,218,12.0,0
219,219,13.0,0
220,220,12.0,0
221,221,12.0,0
222,222,12.0,0
223,223,11.0,0
224,224,12.0,0
225,0,11.0,1
226,1,12.0,1
227,2,12.0,1
228,3,12.0,1
229,4,12.0,1
230,5,12.0,1
231,6,13.0,1
232,7,13.0,1
233,8,13.0,1
234,9,12.0,1
235,10,13.0,1
236,11,13.0,1
237,12,13.0,1
238,13,13.0,1
239,14,13.0,1
240,15,12.0,1
241,16,13.0,1
242,17,12.0,1
243,18,13.0,1
244,19,12.0,1
245,20,12.0,1
246,21,12.0,1
247,22,13.0,1
248,23,12.0,1
249,24,13.0,1
250,25,12.0,1
251,26,13.0,1
252,27,12.0,1
253,28,12.0,1
254,29,12.0,1
255,30,13.0,1
256,31,13.0,1
257,32,13.0,1
258,33,12.0,1
259,34,13.0,1
260,35,12.0,1
261,36,13.0,1
262,37,13.0,1
263,38,13.0,1
264,39,13.0,1
265,40,13.0,1
266,41,13.0,1
267,42,13.0,1
268,43,13.0,1
269,44,11.0,1
270,45,13.0,1
271,46,13.0,1
272,47,12.0,1
273,48,13.0,1
274,49,13.0,1
275,50,13.0,1
276,51,13.0,1
277,52,13.0,1
278,53,13.0,1
279,54,13.0,1
280,55,13.0,1
281,56,13.0,1
282,57,13.0,1
283,58,13.0,1
284,59,13.0,1
285,60,13.0,1
286,61,13.0,1
287,62,13.0,1
288,63,12.0,1
289,64,13.0,1
290,65,14.0,1
291,66,13.0,1
292,67,13.0,1
293,68,13.0,1
294,69,13.0,1
295,70,13.0,1
296,71,13.0,1
297,72,14.0,1
298,73,11.0,1
299,74,13.0,1
300,75,13.0,1
301,76,13.0,1
302,77,13.0,1
303,78,13.0,1
304,79,13.0,1
305,80,13.0,1
306,81,12.0,1
307,82,13.0,1
308,83,13.0,1
309,84,12.0,1
310,85,13.0,1
311,86,13.0,1
312,87,14.0,1
313,88,14.0,1
314,89,14.0,1
315,90,12.0,1
316,91,12.0,1
317,92,13.0,1
318,93,13.0,1
319,94,13.0,1
320,95,13.0,1
321,96,12.0,1
322,97,13.0,1
323,98,12.0,1
324,99,13.0,1
325,100,13.0,1
326,101,14.0,1
327,102,13.0,1
328,103,13.0,1
329,104,14.0,1
330,105,13.0,1
331,106,13.0,1
332,107,13.0,1
333,108,13.0,1
334,109,13.0,1
335,110,12.0,1
336,111,13.0,1
337,112,13.0,1
338,113,13.0,1
339,114,14.0,1
340,115,13.0,1
341,116,13.0,1
342,117,13.0,1
343,118,7.0,1
344,119,13.0,1
345,120,12.0,1
346,121,11.0,1
347,122,12.0,1
348,123,12.0,1
349,124,12.0,1
350,125,12.0,1
351,126,12.0,1
352,127,13.0,1
353,128,12.0,1
354,129,12.0,1
355,130,12.0,1
356,131,12.0,1
357,132,12.0,1
358,133,12.0,1
359,134,12.0,1
360,135,12.0,1
361,136,12.0,1
362,137,12.0,1
363,138,12.0,1
364,139,11.0,1
365,140,12.0,1
366,141,12.0,1
367,142,12.0,1
368,143,12.0,1
369,144,12.0,1
370,145,12.0,1
371,146,13.0,1
372,147,12.0,1
373,148,12.0,1
374,149,12.0,1
375,150,11.0,1
376,151,12.0,1
377,152,13.0,1
378,153,12.0,1
379,154,12.0,1
380,155,13.0,1
381,156,12.0,1
382,157,13.0,1
383,158,12.0,1
384,159,12.0,1
385,160,12.0,1
386,161,12.0,1
387,162,12.0,1
388,163,12.0,1
389,164,12.0,1
390,165,12.0,1
391,166,13.0,1
392,167,11.0,1
393,168,11.0,1
394,169,12.0,1
395,170,13.0,1
396,171,12.0,1
397,172,12.0,1
398,173,13.0,1
399,174,12.0,1
400,175,11.0,1
401,176,12.0,1
402,177,12.0,1
403,178,12.0,1
404,179,12.0,1
405,180,12.0,1
406,181,11.0,1
407,182,12.0,1
408,183,11.0,1
409,184,12.0,1
410,185,12.0,1
411,186,12.0,1
412,187,12.0,1
413,188,13.0,1
414,189,12.0,1
415,190,12.0,1
416,191,12.0,1
417,192,12.0,1
418,193,12.0,1
419,194,12.0,1
420,195,12.0,1
421,196,12.0,1
422,197,12.0,1
423,198,12.0,1
424,199,11.0,1
425,200,12.0,1
426,201,12.0,1
427,202,12.0,1
428,203,12.0,1
429,204,12.0,1
430,205,12.0,1
431,206,12.0,1
432,207,11.0,1
433,208,12.0,1
434,209,12.0,1
435,210,12.0,1
436,211,12.0,1
437,212,63.0,1
438,213,12.0,1
439,214,12.0,1
440,215,12.0,1
441,216,63.0,1
442,217,63.0,1
443,218,12.0,1
444,219,12.0,1
445,220,12.0,1
446,221,11.0,1
447,222,12.0,1
448,223,12.0,1
449,224,12.0,1
